canonical_name,context_count,degree,weighted_degree,betweenness_centrality,pagerank,community_id
曹叡,37,4,2.5689693093299866,0.17073170731707318,0.016891016875476884,1
司马懿,100,4,2.4823528230190277,0.07859078590785908,0.01645551563755172,1
司马昭,73,4,2.316797196865082,0.07859078590785908,0.015518686702282654,1
鲁肃,100,3,2.197806715965271,0.04065040650406504,0.014784310486411,2
黄忠,96,3,2.0778121948242188,0.0002810398474355114,0.012124293448120261,10
夏侯惇,86,3,2.0723389983177185,0.031601927130382415,0.013325786232442254,10
荀攸,25,3,2.038148283958435,0.004014854963364448,0.012984360011721903,5
阚泽,17,3,2.0284335017204285,0.006925624811803674,0.015138194829953586,2
夏侯霸,41,3,2.0230581760406494,0.027913279132791326,0.015075499049004511,10
周瑜,100,3,2.0111721456050873,0.006925624811803674,0.014853252297385109,2
李儒,25,3,1.9541935920715332,0.0015055706112616681,0.017268307762412238,6
吉平,13,3,1.923365294933319,0.0015055706112616681,0.017042296481595946,6
曹真,64,3,1.8989146947860718,0.15868714242697982,0.01263747413166404,1
司马师,38,3,1.5833591520786285,0.0,0.011200901696377642,1
刘禅,100,2,1.5217199325561523,0.0,0.010374356592684049,11
王允,27,2,1.5119593143463135,0.0,0.012578686691520742,6
顾雍,16,2,1.5004202127456665,0.01415236374585968,0.012628947728068381,11
吴国太,25,2,1.4169551134109497,0.0,0.008815283080177334,11
姜维,100,2,1.3784151673316956,0.01415236374585968,0.013419869740998756,10
关兴,65,2,1.361815333366394,0.0,0.009470238335128613,10
陈宫,48,2,1.2407286763191223,0.00030111412225233364,0.022113022092088548,3
太史慈,31,2,1.2251306772232056,0.027702499247214695,0.011819472124226679,4
张飞,100,2,1.1915231347084045,0.01415236374585968,0.014237283981140597,4
黄盖,52,2,1.1653368175029755,0.0,0.009632504830351881,2
邓艾,100,1,0.69194096326828,0.0,0.007998791627835214,10
邓芝,25,1,0.689100444316864,0.0,0.007202827123573166,11
贾诩,46,1,0.667083203792572,0.0,0.0060272046280272695,5
吕布,100,1,0.6595168709754944,0.0,0.01226389192413657,3
华佗,13,1,0.6579545736312866,0.0,0.007228155346149959,6
孙权,100,1,0.6540275812149048,0.0,0.005853116722784449,11
孙坚,34,1,0.611602783203125,0.0,0.015151515151515152,9
孙策,68,1,0.611602783203125,0.0,0.015151515151515152,9
关羽,100,1,0.6051034927368164,0.0,0.0084184541253236,4
曹操,100,1,0.5912020206451416,0.0,0.006713279995409422,6
刘璋,66,1,0.5829904079437256,0.0,0.015151515151515152,7
法正,35,1,0.5829904079437256,0.0,0.015151515151515152,7
陈登,28,1,0.5812118053436279,0.0,0.011077631438320341,3
公孙瓒,35,0,0.0,0.0,0.002272727272727273,0
刘琦,31,0,0.0,0.0,0.002272727272727273,0
吕蒙,63,0,0.0,0.0,0.002272727272727273,0
孔融,28,0,0.0,0.0,0.002272727272727273,0
孟获,63,0,0.0,0.0,0.002272727272727273,0
孟达,51,0,0.0,0.0,0.002272727272727273,0
李肃,14,0,0.0,0.0,0.002272727272727273,0
杨修,10,0,0.0,0.0,0.002272727272727273,0
田丰,19,0,0.0,0.0,0.002272727272727273,0
管辂,14,0,0.0,0.0,0.002272727272727273,0
蔡瑁,43,0,0.0,0.0,0.002272727272727273,0
许攸,17,0,0.0,0.0,0.002272727272727273,0
诸葛亮,100,0,0.0,0.0,0.002272727272727273,0
费祎,8,0,0.0,0.0,0.002272727272727273,0
赵云,100,0,0.0,0.0,0.002272727272727273,0
郭汜,45,0,0.0,0.0,0.002272727272727273,0
钟会,46,0,0.0,0.0,0.002272727272727273,0
陆逊,70,0,0.0,0.0,0.002272727272727273,0
马腾,33,0,0.0,0.0,0.002272727272727273,0
马超,100,0,0.0,0.0,0.002272727272727273,0
